event,Range,RangeRate,Speed,LaneDistanceLeft,LaneDistanceRight,Crossing,End of event,Along_s,Alat_s,Driving style
3,43.8125,-2.3125,30.41945,-0.2070313,3.277344,0,0,-0.515739697802198,-0.601020887201034,1
3,43.25,-2.4375,30.43333,-0.09765625,3.34375,0,0,-0.500686458557782,-0.617493832148244,1
3,43.125,-2.4375,30.33611,-0.05859375,3.457031,0,0,-0.490383520074697,-0.626699754901961,1
3,43,-2.3125,30.41945,-0.015625,3.5,0,0,-0.490930681246858,-0.623297403576815,1
3,43,-2.375,30.46111,0.01953125,3.539063,0,0,-0.508427740968182,-0.601945526287438,1
3,42.6875,-2.375,30.48611,0.09375,3.609375,0,0,-0.548974498132587,-0.557302871148459,1
3,68.5,-47,30.61111,-3.089844,0.1015625,1,1,-0.618670751633987,-0.48402818627451,1
4,38.0625,-3,33.48333,-1.375,2.335938,0,0,-0.717180964052288,-0.19637091503268,1
4,37.8125,-3.125,33.45278,-1.367188,2.371094,0,0,-0.602599381419234,-0.122398576097106,1
4,37.5625,-3.0625,33.48333,-1.351563,2.398438,0,0,-0.517108444659915,-0.0798825504560799,1
4,37.3125,-3.125,33.46111,-1.304688,2.425781,0,0,-0.456317756589815,-0.0630683760683761,1
4,36.6875,-3.1875,33.49167,-1.171875,2.511719,0,0,-0.41583692002442,-0.0662015908927674,1
4,36.4375,-3.1875,33.52222,-1.152344,2.53125,0,0,-0.391275537779214,-0.083527732888027,1
4,36.1875,-3.1875,33.51667,-1.113281,2.570313,0,0,-0.378243212669683,-0.109292340012928,1
4,35.875,-3.25,33.5,-1.058594,2.625,0,0,-0.372349547511312,-0.137740950226244,1
4,35.6875,-3.25,33.52222,-1.019531,2.664063,0,0,-0.310005656108597,-0.141157239819005,1
4,35.25,-3.25,33.56111,-0.9335938,2.75,0,0,-0.359906108597285,-0.177773755656109,1
4,35.0625,-3.375,33.5,-0.9023438,2.78125,0,0,-0.345776018099548,-0.135089366515837,1
4,34.5,-3.3125,33.5,-0.8125,2.871094,0,0,-0.295316742081448,-0.0899106334841629,1
4,34.25,-3.25,33.54722,-0.7617188,2.921875,0,0,-0.312322398190045,-0.114381221719457,1
4,34.0625,-3.375,33.53056,-0.7265625,2.957031,0,0,-0.244676470588235,-0.137461538461538,1
4,33.5625,-3.4375,33.49167,-0.6367188,3.046875,0,0,-0.259904977375566,-0.00533484162895933,1
4,33.3125,-3.3125,33.5,-0.5898438,3.09375,0,0,-0.27785407239819,0.0379423076923077,1
4,33.1875,-3.3125,33.52222,-0.5273438,3.15625,0,0,-0.286669683257919,-0.00460294117647064,1
4,32.75,-3.3125,33.48333,-0.4414063,3.367188,0,0,-0.219618778280543,0.0175395927601809,1
4,32.5,-3.3125,33.475,-0.390625,3.363281,0,0,-0.237376696832579,-0.00147398190045253,1
4,32.3125,-3.3125,33.51667,-0.3476563,3.367188,0,0,-0.263268099547511,-0.0794502262443438,1
4,32.0625,-3.3125,33.44445,-0.3046875,3.375,0,0,-0.244589366515837,-0.0889208144796379,1
4,31.5625,-3.375,33.40556,-0.1914063,3.410156,0,0,-0.237171945701357,-0.0527239819004524,1
4,31,-3.4375,33.46667,-0.1054688,3.476563,0,0,-0.251283936651584,-0.00258936651583699,1
4,30.6875,-3.4375,33.43611,-0.06640625,3.523438,0,0,-0.227406108597285,0.068923076923077,1
4,30.625,-3.5,33.33611,-0.0234375,3.582031,0,0,-0.195440812863607,0.16156043956044,1
4,30.1875,-3.5,33.38056,0.01953125,3.652344,0,0,-0.165622773468362,0.24942177960928,1
4,29.6875,-3.5625,33.36667,0.109375,3.691406,0,0,-0.142580258385405,0.321687118437118,1
4,29.4375,-3.5,33.31945,-3.046875,0.15625,1,0,-0.130941535588594,0.367536477411477,1
4,29.25,-3.5,33.29722,-3.046875,0.07421875,0,0,-0.135334873051785,0.376149877899878,1
4,28.9375,-3.5,33.29722,-2.996094,0.171875,0,0,-0.160388538748833,0.336707341269841,1
